Kit,Adaptive,Sample,Rep,Genus,Count_new,Percent_new,Count,Percent
LSK109,Non-Adaptive,109_1_WGS,1,Bacillus ,10048,4.26,15444,12.31775403
LSK109,Non-Adaptive,109_1_WGS,1,Cryptococcus,171,0.16,280,0.223321104
LSK109,Non-Adaptive,109_1_WGS,1,Enterococcus ,6172,6.21,8523,6.797734886
LSK109,Non-Adaptive,109_1_WGS,1,Escherichia-Shigella,17250,17,26485,21.1237837
LSK109,Non-Adaptive,109_1_WGS,1,Limosilactobacillus ,3288,3.24,4418,3.523687989
LSK109,Non-Adaptive,109_1_WGS,1,Listeria ,5747,5.29,7737,6.170840644
LSK109,Non-Adaptive,109_1_WGS,1,Pseudomonas ,34937,32.83,23522,18.76056787
LSK109,Non-Adaptive,109_1_WGS,1,Saccharomyces,430,0.47,550,0.438666454
LSK109,Non-Adaptive,109_1_WGS,1,Salmonella,14301,14.36,22740,18.13686393
LSK109,Non-Adaptive,109_1_WGS,1,Staphylococcus,8780,8.58,9778,7.798691976
LSK109,Non-Adaptive,109_1_WGS,1,Other,98,7.51,5903,4.708087414
LSK109,Non-Adaptive,109_2_WGS,2,Bacillus ,27808,4.15,43767,12.35853212
LSK109,Non-Adaptive,109_2_WGS,2,Cryptococcus,543,0.18,960,0.271076172
LSK109,Non-Adaptive,109_2_WGS,2,Enterococcus ,16979,6.03,23750,6.706311557
LSK109,Non-Adaptive,109_2_WGS,2,Escherichia-Shigella,48163,16.86,75344,21.2749616
LSK109,Non-Adaptive,109_2_WGS,2,Limosilactobacillus ,9510,3.3,13029,3.679011927
LSK109,Non-Adaptive,109_2_WGS,2,Listeria ,15996,5.24,21966,6.20256167
LSK109,Non-Adaptive,109_2_WGS,2,Pseudomonas ,101691,33.79,65657,18.5396336
LSK109,Non-Adaptive,109_2_WGS,2,Saccharomyces,1338,0.48,1751,0.494431644
LSK109,Non-Adaptive,109_2_WGS,2,Salmonella,40884,14.47,66057,18.652582
LSK109,Non-Adaptive,109_2_WGS,2,Staphylococcus,23740,8.2,26206,7.399814765
LSK109,Non-Adaptive,109_2_WGS,2,Other,142,7.25,15657,4.421082949
LSK109,Non-Adaptive,109_3_WGS,3,Bacillus ,552,2.74,908,12.92342727
LSK109,Non-Adaptive,109_3_WGS,3,Cryptococcus,9,0.19,21,0.298889838
LSK109,Non-Adaptive,109_3_WGS,3,Enterococcus ,396,5.27,559,7.956162824
LSK109,Non-Adaptive,109_3_WGS,3,Escherichia-Shigella,921,15.39,1465,20.8511244
LSK109,Non-Adaptive,109_3_WGS,3,Limosilactobacillus ,147,3.22,222,3.15969257
LSK109,Non-Adaptive,109_3_WGS,3,Listeria ,344,4.38,487,6.931397666
LSK109,Non-Adaptive,109_3_WGS,3,Pseudomonas ,1658,39.17,1117,15.8980928
LSK109,Non-Adaptive,109_3_WGS,3,Saccharomyces,37,0.44,51,0.72587532
LSK109,Non-Adaptive,109_3_WGS,3,Salmonella,824,14.34,1327,18.88699118
LSK109,Non-Adaptive,109_3_WGS,3,Staphylococcus,458,7.28,555,7.899231426
LSK109,Non-Adaptive,109_3_WGS,3,Other,8,7.52,314,4.469114717
LSK109,Adaptive,109_1_A,1,Bacillus ,0,0,12541,11.42406879
LSK109,Adaptive,109_1_A,1,Cryptococcus,34,1.28,263,0.239576596
LSK109,Adaptive,109_1_A,1,Enterococcus ,1,0.04,7920,7.214626015
LSK109,Adaptive,109_1_A,1,Escherichia-Shigella,1,0.04,20536,18.70701513
LSK109,Adaptive,109_1_A,1,Limosilactobacillus ,0,0,3636,3.312169216
LSK109,Adaptive,109_1_A,1,Listeria ,0,0,6901,6.286380572
LSK109,Adaptive,109_1_A,1,Pseudomonas ,2,0.08,17660,16.08715851
LSK109,Adaptive,109_1_A,1,Saccharomyces,2573,96.58,4157,3.78676772
LSK109,Adaptive,109_1_A,1,Salmonella,1,0.04,17598,16.03068038
