Genus,109_1,109_2,109_3
Bacillus ,12.31775403,12.35853212,12.92342727
Cryptococcus,0.223321104,0.271076172,0.298889838
Enterococcus ,6.797734886,6.706311557,7.956162824
Escherichia-Shigella,21.1237837,21.2749616,20.8511244
Limosilactobacillus ,3.523687989,3.679011927,3.15969257
Listeria ,6.170840644,6.20256167,6.931397666
Pseudomonas ,18.76056787,18.5396336,15.8980928
Saccharomyces,0.438666454,0.494431644,0.72587532
Salmonella,18.13686393,18.652582,18.88699118
Staphylococcus,7.798691976,7.399814765,7.899231426
Non-Mapped,4.708087414,4.421082949,4.469114717
